,Population,div100
Ukraine,43733762.0,437.34
United Arab Emirates,9890402.0,98.9
United Kingdom,67886011.0,678.86
United States,331002651.0,3310.03
Uruguay,3473730.0,34.74
Uzbekistan,33469203.0,334.69
Vanuatu,307145.0,3.07
Venezuela,28435940.0,284.36
Vietnam,97338579.0,973.39
Wallis and Futuna,11239.0,0.11
West Bank and Gaza,5101414.0,51.01
Yemen,29825964.0,298.26
Zambia,18383955.0,183.84
Zimbabwe,14862924.0,148.63
